Anaheim,Mar 4 2020,@ Colorado,REG,W, 4-3 , +285,O,5.5
Anaheim,Mar 6 2020,vs Toronto,REG,W, 2-1 , +150,U,6
Anaheim,Mar 8 2020,vs Minnesota,REG,L, 5-4 , +115,O,5.5
Anaheim,Mar 10 2020,vs Ottawa,REG,W, 5-2 , -135,O,6
Anaheim,Mar 11 2020,vs St. Louis,REG,L, 4-2 , +175,U,6.5

Arizona,Oct 3 2019,@ Anaheim,REG,L, 2-1 , -105,U,5.5
Arizona,Oct 5 2019,vs Boston,REG,L, 1-0 , +125,U,5.5
Arizona,Oct 10 2019,vs Vegas,REG,W, 4-1 , +100,U,5.5
Arizona,Oct 12 2019,@ Colorado,REG,L, 3-2 , +130,U,6
Arizona,Oct 15 2019,@ Winnipeg,REG,W, 4-2 , +105,P,6
Arizona,Oct 17 2019,vs Nashville,REG,W, 5-2 , -105,O,5.5
Arizona,Oct 19 2019,vs Ottawa,REG,W, 5-2 , -230,O,6
Arizona,Oct 22 2019,@ NY Rangers,REG,W, 3-2 , -120,U,6
Arizona,Oct 24 2019,@ NY Islanders,REG,L, 4-2 , -105,O,5
Arizona,Oct 25 2019,@ New Jersey,REG,W, 5-3 , +100,O,5.5
Arizona,Oct 28 2019,@ Buffalo,REG,W, 3-2 , +100,U,5.5
Arizona,Oct 30 2019,vs Montreal,REG,L, 4-1 , -130,U,6
Arizona,Nov 2 2019,vs Colorado,REG,W, 3-0 , -145,U,5.5
Arizona,Nov 4 2019,@ Edmonton,REG,W, 3-2 , -105,U,5.5
Arizona,Nov 5 2019,@ Calgary,REG,L, 4-3 , +145,O,5.5
Arizona,Nov 7 2019,vs Columbus,REG,L, 3-2 , -145,U,5.5
Arizona,Nov 9 2019,vs Minnesota,REG,L, 4-3 , -145,O,5.5
Arizona,Nov 11 2019,@ Washington,REG,W, 4-3 , +160,O,6
Arizona,Nov 12 2019,@ St. Louis,REG,W, 3-2 , +145,U,5.5
Arizona,Nov 14 2019,@ Minnesota,REG,L, 3-2 , -105,U,5.5
Arizona,Nov 16 2019,vs Calgary,REG,W, 3-0 , -115,U,5.5
Arizona,Nov 18 2019,vs Los Angeles,REG,W, 3-0 , -170,U,5.5
Arizona,Nov 21 2019,vs Toronto,REG,L, 3-1 , -110,U,6
Arizona,Nov 23 2019,@ Los Angeles,REG,W, 3-2 , -125,U,5.5
Arizona,Nov 24 2019,vs Edmonton,REG,L, 4-3 , -125,O,5.5
Arizona,Nov 27 2019,vs Anaheim,REG,W, 4-3 , -145,O,5.5
Arizona,Nov 29 2019,@ Vegas,REG,L, 2-1 , +130,U,5.5
Arizona,Nov 30 2019,vs San Jose,REG,L, 4-2 , -125,O,5.5
Arizona,Dec 3 2019,@ Columbus,REG,W, 4-2 , -110,O,5
Arizona,Dec 5 2019,@ Philadelphia,REG,W, 3-1 , +125,U,5.5
Arizona,Dec 6 2019,@ Pittsburgh,REG,L, 2-0 , +155,U,5.5
Arizona,Dec 8 2019,@ Chicago,REG,W, 4-3 , -110,O,5.5
Arizona,Dec 10 2019,vs Calgary,REG,L, 5-2 , -135,O,5.5
Arizona,Dec 12 2019,vs Chicago,REG,W, 5-2 , -155,O,5.5
Arizona,Dec 14 2019,vs New Jersey,REG,L, 2-1 , -225,U,5.5
Arizona,Dec 17 2019,@ San Jose,REG,W, 3-2 , -115,U,5.5
Arizona,Dec 19 2019,vs Minnesota,REG,L, 8-5 , -165,O,5.5
Arizona,Dec 22 2019,@ Detroit,REG,W, 5-2 , -225,O,5.5
Arizona,Dec 23 2019,@ Nashville,REG,L, 3-2 , +130,U,6
Arizona,Dec 28 2019,@ Vegas,REG,L, 4-1 , +120,U,5.5
Arizona,Dec 29 2019,vs Dallas,REG,L, 4-2 , -115,O,5
Arizona,Dec 31 2019,vs St. Louis,REG,W, 3-1 , +100,U,5.5
Arizona,Jan 2 2020,vs Anaheim,REG,W, 4-2 , -175,O,5.5
Arizona,Jan 4 2020,vs Philadelphia,REG,W, 6-2 , -135,O,5.5
Arizona,Jan 7 2020,@ Florida,REG,W, 5-2 , +115,O,6
Arizona,Jan 9 2020,@ Tampa Bay,REG,L, 4-0 , +180,U,6.5
Arizona,Jan 10 2020,@ Carolina,REG,L, 3-0 , +155,U,5.5
Arizona,Jan 12 2020,vs Pittsburgh,REG,L, 4-3 , -105,O,5.5
Arizona,Jan 14 2020,vs San Jose,REG,W, 6-3 , -135,O,5.5
Arizona,Jan 16 2020,@ Vancouver,REG,L, 3-1 , -105,U,5.5
Arizona,Jan 18 2020,@ Edmonton,REG,L, 7-3 , -105,O,5.5
Arizona,Jan 29 2020,@ Anaheim,REG,L, 4-2 , -120,O,5
Arizona,Jan 30 2020,vs Los Angeles,REG,L, 3-2 , -165,U,5.5
Arizona,Feb 1 2020,vs Chicago,REG,L, 3-2 , -140,U,6
Arizona,Feb 4 2020,vs Edmonton,REG,W, 3-0 , -115,U,5.5
Arizona,Feb 6 2020,vs Carolina,REG,L, 5-3 , -105,O,5.5
Arizona,Feb 8 2020,@ Boston,REG,L, 4-2 , +200,O,5.5
Arizona,Feb 10 2020,@ Montreal,REG,W, 3-2 , +125,U,5.5
Arizona,Feb 11 2020,@ Toronto,REG,L, 3-2 , +170,U,6.5
Arizona,Feb 13 2020,@ Ottawa,REG,L, 3-2 , -135,U,5.5
Arizona,Feb 15 2020,vs Washington,REG,W, 3-1 , +110,U,6
Arizona,Feb 17 2020,vs NY Islanders,REG,W, 2-1 , -125,U,5
Arizona,Feb 19 2020,@ Dallas,REG,L, 3-2 , +145,P,5
Arizona,Feb 20 2020,@ St. Louis,REG,L, 1-0 , +155,U,5.5
Arizona,Feb 22 2020,vs Tampa Bay,REG,W, 7-3 , +150,O,5.5
Arizona,Feb 25 2020,vs Florida,REG,L, 2-1 , -135,U,6
Arizona,Feb 29 2020,vs Buffalo,REG,W, 5-2 , -190,O,5.5
Arizona,Mar 4 2020,@ Vancouver,REG,W, 4-2 , -105,O,5.5
Arizona,Mar 6 2020,@ Calgary,REG,L, 3-2 , +125,U,5.5
Arizona,Mar 9 2020,@ Winnipeg,REG,L, 4-2 , +110,O,5.5

Boston,Oct 3 2019,@ Dallas,REG,W, 2-1 , -110,U,5.5
Boston,Oct 5 2019,@ Arizona,REG,W, 1-0 , -145,U,5.5
Boston,Oct 8 2019,@ Vegas,REG,W, 4-3 , +115,O,5.5
Boston,Oct 10 2019,@ Colorado,REG,L, 4-2 , -105,O,5.5
